Training_Model,Test_Category,Specific_Environment,Emotion_Class,Precision,Recall,F1_Score,Overall_Model_Accuracy
Ensemble_Random_Forest_Clean,Clean_Data,Clean,Anger (W),0.6410256410256411,0.9615384615384616,0.7692307692307693,0.6074766355140186
Ensemble_Random_Forest_Clean,Clean_Data,Clean,Boredom (L),0.4166666666666667,0.3125,0.35714285714285715,0.6074766355140186
Ensemble_Random_Forest_Clean,Clean_Data,Clean,Disgust (E),0.625,0.5555555555555556,0.5882352941176471,0.6074766355140186
Ensemble_Random_Forest_Clean,Clean_Data,Clean,Anxiety/Fear (A),1.0,0.5,0.6666666666666666,0.6074766355140186
Ensemble_Random_Forest_Clean,Clean_Data,Clean,Happiness (F),0.3333333333333333,0.07142857142857142,0.11764705882352941,0.6074766355140186
Ensemble_Random_Forest_Clean,Clean_Data,Clean,Sadness (T),0.5714285714285714,0.6666666666666666,0.6153846153846154,0.6074766355140186
Ensemble_Random_Forest_Clean,Clean_Data,Clean,Neutral (N),0.5833333333333334,0.875,0.7,0.6074766355140186
Ensemble_Random_Forest_Clean,Clean_Data,Clean,MACRO AVG,0.5958267922553636,0.5632413221698936,0.5449010373380121,0.6074766355140186
Ensemble_Random_Forest_Clean,Clean_Data,Clean,WEIGHTED AVG,0.5964063195371606,0.6074766355140186,0.5661066439516138,0.6074766355140186
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_-10dB,Anger (W),0.4,0.07692307692307693,0.12903225806451613,0.09345794392523364
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_-10dB,Boredom (L),0.05263157894736842,0.125,0.07407407407407407,0.09345794392523364
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_-10dB,Disgust (E),0.09090909090909091,0.3333333333333333,0.14285714285714285,0.09345794392523364
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_-10dB,Anxiety/Fear (A),0.07407407407407407,0.14285714285714285,0.0975609756097561,0.09345794392523364
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_-10dB,Happiness (F),0.0,0.0,0.0,0.09345794392523364
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_-10dB,Sadness (T),0.25,0.08333333333333333,0.125,0.09345794392523364
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_-10dB,Neutral (N),0.0,0.0,0.0,0.09345794392523364
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_-10dB,MACRO AVG,0.12394496341864762,0.1087781266352695,0.08121777865792702,0.09345794392523364
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_-10dB,WEIGHTED AVG,0.15044228148015654,0.09345794392523364,0.08122983027208855,0.09345794392523364
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_-5dB,Anger (W),0.0,0.0,0.0,0.21495327102803738
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_-5dB,Boredom (L),0.1568627450980392,0.5,0.23880597014925373,0.21495327102803738
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_-5dB,Disgust (E),0.23809523809523808,0.5555555555555556,0.3333333333333333,0.21495327102803738
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_-5dB,Anxiety/Fear (A),0.2727272727272727,0.6428571428571429,0.3829787234042553,0.21495327102803738
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_-5dB,Happiness (F),0.0,0.0,0.0,0.21495327102803738
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_-5dB,Sadness (T),1.0,0.08333333333333333,0.15384615384615385,0.21495327102803738
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_-5dB,Neutral (N),0.0,0.0,0.0,0.21495327102803738
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_-5dB,MACRO AVG,0.23824075084579285,0.2545351473922903,0.15842345439042801,0.21495327102803738
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_-5dB,WEIGHTED AVG,0.19131628862250083,0.21495327102803738,0.13110982706730356,0.21495327102803738
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_0dB,Anger (W),1.0,0.15384615384615385,0.26666666666666666,0.2616822429906542
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_0dB,Boredom (L),0.18181818181818182,0.375,0.24489795918367346,0.2616822429906542
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_0dB,Disgust (E),0.4666666666666667,0.7777777777777778,0.5833333333333334,0.2616822429906542
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_0dB,Anxiety/Fear (A),0.18867924528301888,0.7142857142857143,0.29850746268656714,0.2616822429906542
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_0dB,Happiness (F),1.0,0.07142857142857142,0.13333333333333333,0.2616822429906542
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_0dB,Sadness (T),0.0,0.0,0.0,0.2616822429906542
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_0dB,Neutral (N),0.0,0.0,0.0,0.2616822429906542
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_0dB,MACRO AVG,0.4053091562525525,0.29890545961974535,0.2181055364576534,0.2616822429906542
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_0dB,WEIGHTED AVG,0.4649588817107773,0.2616822429906542,0.2069857179864553,0.2616822429906542
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_10dB,Anger (W),0.5263157894736842,0.38461538461538464,0.4444444444444444,0.4485981308411215
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_10dB,Boredom (L),0.36363636363636365,0.5,0.42105263157894735,0.4485981308411215
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_10dB,Disgust (E),0.5384615384615384,0.7777777777777778,0.6363636363636364,0.4485981308411215
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_10dB,Anxiety/Fear (A),0.3333333333333333,0.8571428571428571,0.48,0.4485981308411215
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_10dB,Happiness (F),0.0,0.0,0.0,0.4485981308411215
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_10dB,Sadness (T),0.875,0.5833333333333334,0.7,0.4485981308411215
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_10dB,Neutral (N),0.5714285714285714,0.25,0.34782608695652173,0.4485981308411215
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_10dB,MACRO AVG,0.45831079947621295,0.4789813361241933,0.43281239990622133,0.4485981308411215
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_10dB,WEIGHTED AVG,0.45474831775864727,0.4485981308411215,0.41780268952706345,0.4485981308411215
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_15dB,Anger (W),0.5833333333333334,0.5384615384615384,0.56,0.48598130841121495
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_15dB,Boredom (L),0.3181818181818182,0.4375,0.3684210526315789,0.48598130841121495
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_15dB,Disgust (E),0.5,0.6666666666666666,0.5714285714285714,0.48598130841121495
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_15dB,Anxiety/Fear (A),0.42105263157894735,0.5714285714285714,0.48484848484848486,0.48598130841121495
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_15dB,Happiness (F),0.5,0.14285714285714285,0.2222222222222222,0.48598130841121495
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_15dB,Sadness (T),0.6153846153846154,0.6666666666666666,0.64,0.48598130841121495
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_15dB,Neutral (N),0.5384615384615384,0.4375,0.4827586206896552,0.48598130841121495
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_15dB,MACRO AVG,0.4966305624200361,0.49444008372579795,0.4756684216886447,0.48598130841121495
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_15dB,WEIGHTED AVG,0.5014234822400095,0.48598130841121495,0.4757076805138953,0.48598130841121495
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_5dB,Anger (W),0.8,0.3076923076923077,0.4444444444444444,0.37383177570093457
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_5dB,Boredom (L),0.3333333333333333,0.625,0.43478260869565216,0.37383177570093457
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_5dB,Disgust (E),0.3157894736842105,0.6666666666666666,0.42857142857142855,0.37383177570093457
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_5dB,Anxiety/Fear (A),0.2926829268292683,0.8571428571428571,0.43636363636363634,0.37383177570093457
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_5dB,Happiness (F),0.5,0.07142857142857142,0.125,0.37383177570093457
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_5dB,Sadness (T),0.6666666666666666,0.16666666666666666,0.26666666666666666,0.37383177570093457
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_5dB,Neutral (N),0.5,0.0625,0.1111111111111111,0.37383177570093457
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_5dB,MACRO AVG,0.48692462864478264,0.39387100994243857,0.32099141369327705,0.37383177570093457
Ensemble_Random_Forest_Clean,Raw_Noisy,Cafe_5dB,WEIGHTED AVG,0.5240467249729064,0.37383177570093457,0.3290288676513789,0.37383177570093457
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_-10dB,Anger (W),0.5,0.11538461538461539,0.1875,0.19626168224299065
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_-10dB,Boredom (L),0.0,0.0,0.0,0.19626168224299065
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_-10dB,Disgust (E),0.11627906976744186,0.5555555555555556,0.19230769230769232,0.19626168224299065
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_-10dB,Anxiety/Fear (A),0.2,0.2857142857142857,0.23529411764705882,0.19626168224299065
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_-10dB,Happiness (F),0.0,0.0,0.0,0.19626168224299065
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_-10dB,Sadness (T),0.25,0.6666666666666666,0.36363636363636365,0.19626168224299065
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_-10dB,Neutral (N),1.0,0.0625,0.11764705882352941,0.19626168224299065
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_-10dB,MACRO AVG,0.2951827242524917,0.24083158904587476,0.1566264617735206,0.19626168224299065
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_-10dB,WEIGHTED AVG,0.33501412736361663,0.19626168224299065,0.15089603909010174,0.19626168224299065
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_-5dB,Anger (W),0.3333333333333333,0.11538461538461539,0.17142857142857143,0.2523364485981308
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_-5dB,Boredom (L),0.1111111111111111,0.0625,0.08,0.2523364485981308
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_-5dB,Disgust (E),0.2,0.8888888888888888,0.32653061224489793,0.2523364485981308
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_-5dB,Anxiety/Fear (A),0.2777777777777778,0.7142857142857143,0.4,0.2523364485981308
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_-5dB,Happiness (F),0.0,0.0,0.0,0.2523364485981308
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_-5dB,Sadness (T),0.38461538461538464,0.4166666666666667,0.4,0.2523364485981308
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_-5dB,Neutral (N),0.0,0.0,0.0,0.2523364485981308
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_-5dB,MACRO AVG,0.1866910866910867,0.313960840746555,0.1968513119533528,0.2523364485981308
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_-5dB,WEIGHTED AVG,0.1939132518571771,0.2523364485981308,0.17827961090978448,0.2523364485981308
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_0dB,Anger (W),0.6363636363636364,0.2692307692307692,0.3783783783783784,0.3177570093457944
Ensemble_Random_Forest_Clean,Raw_Noisy,Street_0dB,Boredom (L),0.125,0.125,0.125,0.3177570093457944
