Training_Model,Test_Category,Specific_Environment,Emotion_Class,Precision,Recall,F1_Score,Overall_Model_Accuracy
SVM_LINEAR_Clean,Clean_Data,Clean,Anger (W),0.7058823529411765,0.9230769230769231,0.8,0.6542056074766355
SVM_LINEAR_Clean,Clean_Data,Clean,Boredom (L),0.5454545454545454,0.375,0.4444444444444444,0.6542056074766355
SVM_LINEAR_Clean,Clean_Data,Clean,Disgust (E),0.42857142857142855,0.6666666666666666,0.5217391304347826,0.6542056074766355
SVM_LINEAR_Clean,Clean_Data,Clean,Anxiety/Fear (A),0.8181818181818182,0.6428571428571429,0.72,0.6542056074766355
SVM_LINEAR_Clean,Clean_Data,Clean,Happiness (F),0.5,0.2857142857142857,0.36363636363636365,0.6542056074766355
SVM_LINEAR_Clean,Clean_Data,Clean,Sadness (T),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6542056074766355
SVM_LINEAR_Clean,Clean_Data,Clean,Neutral (N),0.7647058823529411,0.8125,0.7878787878787878,0.6542056074766355
SVM_LINEAR_Clean,Clean_Data,Clean,MACRO AVG,0.6327803848812251,0.6246402407116692,0.6149093418658637,0.6542056074766355
SVM_LINEAR_Clean,Clean_Data,Clean,WEIGHTED AVG,0.6507214610568102,0.6542056074766355,0.6391003082429333,0.6542056074766355
SVM_LINEAR_Clean,Raw_Noisy,Cafe_-10dB,Anger (W),0.0,0.0,0.0,0.1308411214953271
SVM_LINEAR_Clean,Raw_Noisy,Cafe_-10dB,Boredom (L),0.17307692307692307,0.5625,0.2647058823529412,0.1308411214953271
SVM_LINEAR_Clean,Raw_Noisy,Cafe_-10dB,Disgust (E),0.10869565217391304,0.5555555555555556,0.18181818181818182,0.1308411214953271
SVM_LINEAR_Clean,Raw_Noisy,Cafe_-10dB,Anxiety/Fear (A),0.0,0.0,0.0,0.1308411214953271
SVM_LINEAR_Clean,Raw_Noisy,Cafe_-10dB,Happiness (F),0.0,0.0,0.0,0.1308411214953271
SVM_LINEAR_Clean,Raw_Noisy,Cafe_-10dB,Sadness (T),0.0,0.0,0.0,0.1308411214953271
SVM_LINEAR_Clean,Raw_Noisy,Cafe_-10dB,Neutral (N),0.0,0.0,0.0,0.1308411214953271
SVM_LINEAR_Clean,Raw_Noisy,Cafe_-10dB,MACRO AVG,0.04025322503583373,0.15972222222222224,0.06378915202444614,0.1308411214953271
SVM_LINEAR_Clean,Raw_Noisy,Cafe_-10dB,WEIGHTED AVG,0.035023286343887725,0.1308411214953271,0.05487530611224949,0.1308411214953271
SVM_LINEAR_Clean,Raw_Noisy,Cafe_-5dB,Anger (W),0.5,0.038461538461538464,0.07142857142857142,0.18691588785046728
SVM_LINEAR_Clean,Raw_Noisy,Cafe_-5dB,Boredom (L),0.17777777777777778,0.5,0.26229508196721313,0.18691588785046728
SVM_LINEAR_Clean,Raw_Noisy,Cafe_-5dB,Disgust (E),0.1276595744680851,0.6666666666666666,0.21428571428571427,0.18691588785046728
SVM_LINEAR_Clean,Raw_Noisy,Cafe_-5dB,Anxiety/Fear (A),0.4166666666666667,0.35714285714285715,0.38461538461538464,0.18691588785046728
SVM_LINEAR_Clean,Raw_Noisy,Cafe_-5dB,Happiness (F),0.0,0.0,0.0,0.18691588785046728
SVM_LINEAR_Clean,Raw_Noisy,Cafe_-5dB,Sadness (T),0.0,0.0,0.0,0.18691588785046728
SVM_LINEAR_Clean,Raw_Noisy,Cafe_-5dB,Neutral (N),0.0,0.0,0.0,0.18691588785046728
SVM_LINEAR_Clean,Raw_Noisy,Cafe_-5dB,MACRO AVG,0.17458628841607565,0.22318158032443747,0.13323210747098338,0.18691588785046728
SVM_LINEAR_Clean,Raw_Noisy,Cafe_-5dB,WEIGHTED AVG,0.21333377521486493,0.18691588785046728,0.12492571011032785,0.18691588785046728
SVM_LINEAR_Clean,Raw_Noisy,Cafe_0dB,Anger (W),0.75,0.11538461538461539,0.2,0.205607476635514
SVM_LINEAR_Clean,Raw_Noisy,Cafe_0dB,Boredom (L),0.1111111111111111,0.1875,0.13953488372093023,0.205607476635514
SVM_LINEAR_Clean,Raw_Noisy,Cafe_0dB,Disgust (E),0.20512820512820512,0.8888888888888888,0.3333333333333333,0.205607476635514
SVM_LINEAR_Clean,Raw_Noisy,Cafe_0dB,Anxiety/Fear (A),0.20588235294117646,0.5,0.2916666666666667,0.205607476635514
