Training_Model,Test_Category,Specific_Environment,Emotion_Class,Precision,Recall,F1_Score,Overall_Model_Accuracy
Super_Model_Clean,Clean_Data,Clean,Anger (W),0.6153846153846154,0.9230769230769231,0.7384615384615385,0.6074766355140186
Super_Model_Clean,Clean_Data,Clean,Boredom (L),0.6,0.375,0.46153846153846156,0.6074766355140186
Super_Model_Clean,Clean_Data,Clean,Disgust (E),0.625,0.5555555555555556,0.5882352941176471,0.6074766355140186
Super_Model_Clean,Clean_Data,Clean,Anxiety/Fear (A),0.875,0.5,0.6363636363636364,0.6074766355140186
Super_Model_Clean,Clean_Data,Clean,Happiness (F),0.25,0.07142857142857142,0.1111111111111111,0.6074766355140186
Super_Model_Clean,Clean_Data,Clean,Sadness (T),0.5714285714285714,0.6666666666666666,0.6153846153846154,0.6074766355140186
Super_Model_Clean,Clean_Data,Clean,Neutral (N),0.5833333333333334,0.875,0.7,0.6074766355140186
Super_Model_Clean,Clean_Data,Clean,MACRO AVG,0.5885923600209314,0.5666753881039596,0.5501563795681443,0.6074766355140186
Super_Model_Clean,Clean_Data,Clean,WEIGHTED AVG,0.5903315531820205,0.6074766355140186,0.5694205129059445,0.6074766355140186
Super_Model_Clean,Raw_Noisy,Cafe_-10dB,Anger (W),0.2647058823529412,0.34615384615384615,0.3,0.17757009345794392
Super_Model_Clean,Raw_Noisy,Cafe_-10dB,Boredom (L),0.0,0.0,0.0,0.17757009345794392
Super_Model_Clean,Raw_Noisy,Cafe_-10dB,Disgust (E),0.14,0.7777777777777778,0.23728813559322035,0.17757009345794392
Super_Model_Clean,Raw_Noisy,Cafe_-10dB,Anxiety/Fear (A),0.15,0.21428571428571427,0.17647058823529413,0.17757009345794392
Super_Model_Clean,Raw_Noisy,Cafe_-10dB,Happiness (F),0.0,0.0,0.0,0.17757009345794392
Super_Model_Clean,Raw_Noisy,Cafe_-10dB,Sadness (T),0.0,0.0,0.0,0.17757009345794392
Super_Model_Clean,Raw_Noisy,Cafe_-10dB,Neutral (N),0.0,0.0,0.0,0.17757009345794392
Super_Model_Clean,Raw_Noisy,Cafe_-10dB,MACRO AVG,0.0792436974789916,0.19117390545961974,0.10196553197550207,0.17757009345794392
Super_Model_Clean,Raw_Noisy,Cafe_-10dB,WEIGHTED AVG,0.09572292468389225,0.17757009345794392,0.1159456210806832,0.17757009345794392
Super_Model_Clean,Raw_Noisy,Cafe_-5dB,Anger (W),0.288135593220339,0.6538461538461539,0.4,0.2523364485981308
Super_Model_Clean,Raw_Noisy,Cafe_-5dB,Boredom (L),0.0,0.0,0.0,0.2523364485981308
Super_Model_Clean,Raw_Noisy,Cafe_-5dB,Disgust (E),0.15625,0.5555555555555556,0.24390243902439024,0.2523364485981308
Super_Model_Clean,Raw_Noisy,Cafe_-5dB,Anxiety/Fear (A),0.35714285714285715,0.35714285714285715,0.35714285714285715,0.2523364485981308
Super_Model_Clean,Raw_Noisy,Cafe_-5dB,Happiness (F),0.0,0.0,0.0,0.2523364485981308
Super_Model_Clean,Raw_Noisy,Cafe_-5dB,Sadness (T),0.0,0.0,0.0,0.2523364485981308
Super_Model_Clean,Raw_Noisy,Cafe_-5dB,Neutral (N),0.0,0.0,0.0,0.2523364485981308
Super_Model_Clean,Raw_Noisy,Cafe_-5dB,MACRO AVG,0.11450406433759944,0.2237920809349381,0.14300647088103532,0.2523364485981308
Super_Model_Clean,Raw_Noisy,Cafe_-5dB,WEIGHTED AVG,0.12988575162363378,0.2523364485981308,0.16444039206747207,0.2523364485981308
Super_Model_Clean,Raw_Noisy,Cafe_0dB,Anger (W),0.3387096774193548,0.8076923076923077,0.4772727272727273,0.308411214953271
